"Player","Team","Position","Rk","Status","Age","Opponent","Salary","Score","GS","W","L-QS","IP","H","BB","K","SVH3","ERA","WHIP","GP"
"Andrew Chin","NYY","SP,RP","1317","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Luis Chirinos","(N/A)","SP","1318","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Hyun-il Choi","LAD","RP","1319","FA","20","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Adam Choplick","TEX","SP,RP","1320","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jhoander Chourio","NYM","RP","1321","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Gilberto Chu","WSH","SP","1322","FA","23","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Andrew Church","NYM","SP,RP","1323","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Marc Church","TEX","SP,RP","1324","FA","19","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Anthony Ciavarella","STL","SP,RP","1325","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Tony Cingrani","LAD/STL","RP","1326","FA","31","CHC 0<br/>@STL 9 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Drew Cisco","CIN","SP,RP","1327","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Michael Cisco","LAA","RP","1328","FA","33","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jesus Cisneros","SD","RP","1329","FA","20","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Cesar Ciurcina","(N/A)","RP","1330","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Preston Claiborne","(N/A)","RP","1331","FA","33","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Matthew Clancy","SEA","SP,RP","1332","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Bailey Clark","CHC","SP,RP","1333","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Brian Clark","CHW","SP,RP","1334","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Ethan Clark","MIA","SP,RP","1335","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Ryan Clark","ATL","SP,RP","1336","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Chris Clarke","CHC","SP,RP","1337","FA","21","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Ian Clarkin","CHC","SP","1338","FA","26","CHC 0<br/>@STL 9 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Brandon Claussen","WSH","SP","1339","FA","0","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Sam Clay","WSH","SP,RP","1340","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
