"Player","Team","Position","Rk","Status","Age","Opponent","Salary","Score","GS","W","L-QS","IP","H","BB","K","SVH3","ERA","WHIP","GP"
"Kyle Kubat","CHW","RP","2686","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Austin Kubitza","DET","SP","2687","FA","29","DET 3<br/>@CHW 5 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"John Kuchno","PIT","SP,RP","2688","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jacob Kuebler","KC","SP,RP","2689","FA","31","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Justin Kuehn","CHW","SP,RP","2690","FA","33","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Chad Kuhl","PIT","SP","2691","FA","28","CIN 3<br/>@PIT 1 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Cody Kukuk","BOS","SP,RP","2692","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Ryan Kulik","STL","SP,RP","2693","FA","35","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Eddie Kunz","NYM","RP","2694","FA","34","ATL 6<br/>@NYM 7 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Hong-Chih Kuo","SD","RP","2695","FA","39","SD 0<br/>@ARI 1 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Aaron Kurcz","CHC","RP","2696","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Joe Kurrasch","SF","SP,RP","2697","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Cody Kurz","ATL","SP,RP","2698","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Ryan Kussmaul","CHW","RP","2699","FA","34","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Masumi Kuwata","PIT","SP,RP","2700","FA","0","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Anton Kuznetsov","PHI","RP","2701","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"AJ Labas","NYM","SP,RP","2702","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jack Labosky","TB","SP,RP","2703","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jairo Labourt","TB","RP","2704","FA","26","TB 3<br/>@TOR 8 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jorge Labrador","SF","RP","2705","FA","21","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"John Lackey","(N/A)","SP","2706","FA","42","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Shelby Lackey","COL","SP,RP","2707","FA","23","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Nick Lackney","PHI","SP,RP","2708","FA","23","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Rollie Lacy","TB","SP,RP","2709","FA","25","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"A.J. Ladwig","DET","SP,RP","2710","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Bobby LaFromboise","(N/A)","RP","2711","FA","34","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Nicolas Laio","TEX","SP,RP","2712","FA","23","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Deshorn Lake","BOS","SP,RP","2713","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jared Lakind","PIT","RP","2714","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"William LaMarche","MIN","SP,RP","2715","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Chris Lamb","OAK","SP,RP","2716","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"John Lamb","(N/A)","SP","2717","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Will Lamb","TEX","SP,RP","2718","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jimmy Lambert","CHW","SP,RP","2719","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Austin Lambright","KC","SP,RP","2720","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Mitchell Lambson","HOU","SP,RP","2721","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Andre Lamontagne","MIL","RP","2722","FA","34","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Carson Lance","DET","SP,RP","2723","FA","25","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Yorman Landa","MIN","SP","2724","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Stephen Landazuri","SEA","SP","2725","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Keith Landers","BAL","SP,RP","2726","FA","31","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Dutch Landis","SEA","SP,RP","2727","FA","19","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Trevor Lane","NYY","SP,RP","2728","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Trey Lang","CHC","SP,RP","2729","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Alex Lange","CHC","SP","2730","FA","25","CHC 0<br/>@STL 9 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Dan Langfield","CIN","SP,RP","2731","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"John Lannan","WSH","RP","2732","FA","36","CLE 2<br/>@WSH 8 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Lucas Lanphere","TEX","SP,RP","2733","FA","25","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Andrew Lantrip","CLE","SP,RP","2734","FA","25","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Andry Lara","WSH","RP","2735","FA","18","CLE 2<br/>@WSH 8 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Janser Lara","KC","RP","2736","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Miguel Lara","TB","SP","2737","FA","23","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Rainy Lara","NYM","SP","2738","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Turner Larkins","TOR","SP,RP","2739","FA","25","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Denny Larrondo","NYY","SP","2740","FA","18","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Carson LaRue","HOU","SP,RP","2741","FA","24","HOU 8<br/>@LAA 5 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Adam Laskey","CHC","SP,RP","2742","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Joe LaSorsa","TB","SP,RP","2743","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Will Latcham","STL","SP,RP","2744","FA","25","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Mat Latos","(N/A)","SP","2745","FA","33","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jake Latz","TEX","SP,RP","2746","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Alejandro Lavandero","MIL","SP,RP","2747","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Cody Laweryson","MIN","SP,RP","2748","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Ryan Lawlor","ATL","SP,RP","2749","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Casey Lawrence","(N/A)","RP","2750","FA","33","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Justin Lawrence","COL","RP","2751","FA","26","MIL 3<br/>@COL 4 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Colton Laws","TOR","SP,RP","2752","FA","25","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Holden Laws","SEA","SP,RP","2753","FA","21","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Brandon Lawson","TB","SP,RP","2754","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Reggie Lawson","SD","SP","2755","FA","23","SD 0<br/>@ARI 1 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Tanner Lawson","ATL","SP,RP","2756","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Josh Laxer","DET","SP,RP","2757","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Billy Layne Jr.","TEX","SP,RP","2758","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Tommy Layne","STL","RP","2759","FA","36","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Max Lazar","MIL","SP,RP","2760","FA","21","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Raudel Lazo","BAL","RP","2761","FA","31","BAL 4<br/>@BOS 5 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Brent Leach","MIL","RP","2762","FA","38","MIL 3<br/>@COL 4 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Landon Leach","MIN","SP,RP","2763","FA","21","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Brandon League","(N/A)","RP","2764","FA","37","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Kyle Leahy","STL","SP,RP","2765","FA","23","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Erick Leal","ARI","SP","2766","FA","25","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Yosmer Leal","MIL","SP","2767","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Aaron Leasher","SD","SP,RP","2768","FA","24","SD 0<br/>@ARI 1 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jack Leathersich","TEX","RP","2769","FA","30","NYY 1<br/>@TEX 6 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Zack Leban","MIA","SP,RP","2770","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Randy LeBlanc","MIN","SP,RP","2771","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jackxarel Lebron","TOR","SP,RP","2772","FA","20","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jaimito Lebron","SD","SP","2773","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Angelo Leclerc","TEX","RP","2774","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Sam LeCure","LAD","RP","2775","FA","36","LAD 9<br/>@SF 0 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"David Ledbetter","TEX","SP,RP","2776","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Ryan Ledbetter","TEX","SP,RP","2777","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Andrew Lee","WSH","SP,RP","2778","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Brett Lee","MIN","SP,RP","2779","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"C.C. Lee","LAD","RP","2780","FA","34","LAD 9<br/>@SF 0 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Chris Lee","BAL","RP","2781","FA","28","BAL 4<br/>@BOS 5 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Cliff Lee","(N/A)","SP","2782","FA","42","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Dylan Lee","MIA","SP,RP","2783","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Evan Lee","WSH","SP,RP","2784","FA","23","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jacob Lee","LAA","SP,RP","2785","FA","31","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Michael Lee","BOS","SP,RP","2786","FA","34","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Nick Lee","TB","SP,RP","2787","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Zach Lee","NYM","RP","2788","FA","29","ATL 6<br/>@NYM 7 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Andrew Leenhouts","SF","SP,RP","2789","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Charlie Leesman","PIT","SP","2790","FA","33","CIN 3<br/>@PIT 1 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Luke Leftwich","PHI","SP,RP","2791","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Casey Legumina","MIN","SP,RP","2792","FA","23","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Pat Lehman","WSH","RP","2793","FA","34","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Connor Lehmann","SD","SP,RP","2794","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Dalton Lehnen","NYY","SP,RP","2795","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Brandon Leibrandt","(N/A)","SP,RP","2796","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Brennan Leitao","STL","RP","2797","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Mark Leiter Jr.","TOR","RP","2798","FA","29","TB 3<br/>@TOR 8 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jack Leiter","(N/A)","SP,RP","2799","FA","20","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Mack Lemieux","ARI","SP,RP","2800","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jacob Lemoine","TEX","SP,RP","2801","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Zechariah Lemond","SD","SP,RP","2802","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Caden Lemons","MIL","SP","2803","FA","22","MIL 3<br/>@COL 4 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Arcenio Leon","(N/A)","SP,RP","2804","FA","34","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Arnold Leon","TOR","RP","2805","FA","32","TB 3<br/>@TOR 8 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Tomas Leoncio","BAL","SP","2806","FA","25","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Anthony Lerew","LAA","SP","2807","FA","38","HOU 8<br/>@LAA 5 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Adam Leverett","PHI","SP,RP","2808","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Artie Lewicki","ARI","RP","2809","FA","28","SD 0<br/>@ARI 1 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Colby Lewis","(N/A)","SP","2810","FA","41","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jimmy Lewis","LAD","SP,RP","2811","FA","20","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Justin Lewis","ARI","SP,RP","2812","FA","25","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Sam Lewis","ARI","RP","2813","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Taylor Lewis","SEA","SP,RP","2814","FA","32","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Taylor Lewis","ATL","RP","2815","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Robinson Leyer","MIN","SP","2816","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Lazaro Leyva","BAL","SP","2817","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Adam Liberatore","(N/A)","RP","2818","FA","33","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Daniel Lietz","TOR","SP,RP","2819","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Pat Light","(N/A)","RP","2820","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Brett Lilek","MIA","SP","2821","FA","27","MIA 4<br/>@PHI 3 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Ryan Lillie","MIA","SP,RP","2822","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Blake Lillis","MIL","SP,RP","2823","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Michael Limoncelli","SEA","SP,RP","2824","FA","20","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Huei-Sheng Lin","LAD","RP","2825","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Leandro Linares","CLE","RP","2826","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Resly Linares","TB","SP","2827","FA","23","TB 3<br/>@TOR 8 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Tim Lincecum","(N/A)","SP","2828","FA","36","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Chris Lincoln","SD","SP,RP","2829","FA","23","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Josh Lindblom","MIL","SP,RP","2830","FA","33","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Karsen Lindell","CIN","SP,RP","2831","FA","24","CIN 3<br/>@PIT 1 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jacob Lindgren","CHW","RP","2832","FA","27","DET 3<br/>@CHW 5 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Ethan Lindow","PHI","SP,RP","2833","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Matt Lindstrom","(N/A)","RP","2834","FA","41","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Zach Linginfelter","LAA","SP,RP","2835","FA","23","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Eli Lingos","CLE","SP,RP","2836","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jesus Liranzo","PIT","RP","2837","FA","25","CIN 3<br/>@PIT 1 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Brendon Little","CHC","SP","2838","FA","24","CHC 0<br/>@STL 9 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jack Little","LAD","SP,RP","2839","FA","23","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Corey Littrell","STL","SP,RP","2840","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Justin Livengood","SD","SP,RP","2841","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Gabriel Llanes","NYM","SP,RP","2842","FA","25","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Yeancarlos Lleras","BAL","SP,RP","2843","FA","20","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Mariano Llorens","STL","SP,RP","2844","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Mauricio Llovera","PHI","SP,RP","2845","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Kyle Lloyd","SD","SP","2846","FA","30","SD 0<br/>@ARI 1 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Chia-Jen Lo","(N/A)","RP","2847","FA","34","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Cesar Loaiza","NYM","SP","2848","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Dominic LoBrutto","BOS","SP,RP","2849","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Kyle Lobstein","OAK","RP","2850","FA","31","OAK 1<br/>@SEA 3 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Tony Locey","COL","SP,RP","2851","FA","22","MIL 3<br/>@COL 4 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jeff Locke","(N/A)","SP","2852","FA","33","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Nicholas Lockhart","TEX","SP,RP","2853","FA","20","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Nick Lodolo","CIN","SP,RP","2854","FA","23","CIN 3<br/>@PIT 1 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Conner Loepich","PIT","SP,RP","2855","FA","23","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Blake Logan","MIA","SP,RP","2856","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Boone Logan","(N/A)","RP","2857","FA","36","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Zach Logue","TOR","SP,RP","2858","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Matt Lollis","SD","SP","2859","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Grayson Long","LAA","SP","2860","FA","26","HOU 8<br/>@LAA 5 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jaron Long","NYY","SP","2861","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Kenny Long","HOU","SP,RP","2862","FA","32","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Lucas Long","BAL","SP,RP","2863","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Nolan Long","LAD","SP,RP","2864","FA","27","LAD 9<br/>@SF 0 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Sam Long","SF","SP,RP","2865","FA","25","LAD 9<br/>@SF 0 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Seth Lonsway","CIN","SP,RP","2866","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Derrick Loop","PHI","RP","2867","FA","37","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Carlos Lopez","ATL","RP","2868","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Eduar Lopez","LAA","SP","2869","FA","25","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Frank Lopez","TEX","SP","2870","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Frank D' Jesus Lopez","SD","SP","2871","FA","19","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Giovanni Lopez","MIA","SP,RP","2872","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jacob Lopez","TB","SP","2873","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jose Lopez","SF/CIN","SP","2874","FA","27","CIN 3<br/>@PIT 1 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Omarlin Lopez","TEX","SP","2875","FA","27","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Reinaldo Lopez","TB","SP","2876","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Robinson Lopez","CHC","SP","2877","FA","29","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Brett Lorin","ARI","SP","2878","FA","33","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Barrett Loseke","NYY","SP,RP","2879","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Kyle Lotzkar","CIN","SP","2880","FA","31","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Blake Loubier","BOS","SP,RP","2881","FA","20","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jackson Lourie","ATL","SP,RP","2882","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Barret Loux","TEX","SP","2883","FA","31","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Shane Loux","SF","RP","2884","FA","41","LAD 9<br/>@SF 0 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Kieran Lovegrove","CLE","SP,RP","2885","FA","26","CLE 2<br/>@WSH 8 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Zachary Lovvorn","KC","SP,RP","2886","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Johnnie Lowe","CHW","SP,RP","2887","FA","35","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Mark Lowe","(N/A)","RP","2888","FA","37","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Charlie Lowell","MIA","SP,RP","2889","FA","30","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Thaddius Lowry","CHW","SP,RP","2890","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Zac Lowther","BAL","SP","2891","FA","24","BAL 4<br/>@BOS 5 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Trevor Lubking","TB","SP,RP","2892","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Easton Lucas","BAL","SP,RP","2893","FA","24","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"David Lucroy","MIL","SP,RP","2894","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Josh Lueke","(N/A)","RP","2895","FA","36","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Lucas Luetge","ARI","RP","2896","FA","33","SD 0<br/>@ARI 1 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jesus Lugo","SD","SP","2897","FA","23","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Jose Lugo","ATL","RP","2898","FA","36","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Luis Lugo","CLE","SP","2899","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Ruddy Lugo","NYM","RP","2900","FA","40","ATL 6<br/>@NYM 7 F","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Sandy Lugo","CIN","RP","2901","FA","26","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Matthew Lujan","SF","SP","2902","FA","32","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Adam Lukas","KC","SP,RP","2903","FA","22","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
"Alex Luna","KC","SP,RP","2904","FA","28","","4.0","0","0","0","0.0","0","0","0","0","0.0","0","0","0"
